nio_wandstaerke,nio_ovalitaet,nio_od,nio_wellhoehe,bindenaehte,blasenbildung,risse,oberflaechenfehler,delamination,anzahl_kriterien
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,True,False,False,False,False,False,2
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,True,False,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,True,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,True,False,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,True,False,False,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,True,False,False,False,False,False,2
False,True,False,False,False,True,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,True,True,False,False,False,False,False,False,2
False,False,False,False,False,False,False,False,True,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,True,False,False,False,True,False,3
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,True,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,True,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,True,False,False,False,False,True,False,3
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,True,1
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,True,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,True,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,True,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,True,False,False,False,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,True,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,True,False,False,2
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,True,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,True,1
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
True,False,False,True,False,False,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,True,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
True,False,False,False,False,False,False,False,False,1
True,False,False,False,False,False,False,False,False,1
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,True,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,True,False,False,False,1
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,0
False,True,False,False,False,True,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
True,True,False,False,False,False,False,False,False,2
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
False,False,False,False,False,False,False,False,False,0
